Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Sydney,20.5,26.0,0.0,6.6,12.2,NA,NA,WSW,ESE,20.0,24.0,38.0,45.0,1007.4,1007.0,1.0,1.0,22.5,24.0,No,No
Sydney,19.3,26.2,0.0,3.6,8.4,NA,NA,WSW,E,2.0,28.0,73.0,65.0,1018.3,1015.6,1.0,6.0,23.0,25.8,No,Yes
Sydney,14.7,17.4,12.4,0.4,1.8,NA,NA,WSW,SSW,15.0,24.0,81.0,70.0,1021.2,1020.3,7.0,6.0,15.1,16.6,Yes,No
Sydney,9.8,12.7,8.8,2.4,0.1,NA,NA,WSW,S,15.0,17.0,93.0,81.0,1022.6,1020.1,8.0,7.0,10.5,12.6,Yes,Yes
Sydney,8.4,17.4,0.0,4.0,10.5,NA,NA,WSW,ESE,22.0,15.0,49.0,34.0,1023.0,1021.9,1.0,2.0,12.2,16.0,No,No
Sydney,8.4,16.4,0.0,6.2,10.9,NA,NA,WSW,SE,13.0,20.0,49.0,43.0,1025.0,1021.9,1.0,1.0,12.6,15.4,No,No
Sydney,9.9,14.3,12.6,6.0,2.3,NA,NA,WSW,S,19.0,24.0,87.0,74.0,1022.1,1021.9,7.0,7.0,10.3,12.4,Yes,Yes
Sydney,16.7,27.7,0.2,7.0,11.8,NA,NA,WSW,E,19.0,31.0,34.0,46.0,1001.2,996.4,1.0,3.0,22.1,23.7,No,No
Sydney,14.2,22.8,0.0,5.2,7.9,NA,NA,WSW,S,11.0,28.0,66.0,56.0,1020.0,1018.1,1.0,5.0,18.3,20.9,No,Yes
Sydney,14.7,21.2,0.0,6.4,10.2,NA,NA,WSW,ESE,19.0,17.0,36.0,35.0,1016.1,1015.1,2.0,1.0,18.2,19.8,No,No
Sydney,9.6,17.1,0.0,5.2,4.7,NA,NA,WSW,S,15.0,17.0,65.0,76.0,1025.4,1026.0,5.0,6.0,13.5,13.9,No,Yes
Sydney,15.0,24.3,0.2,6.2,12.6,NA,NA,WSW,ENE,6.0,26.0,66.0,56.0,1016.4,1011.4,2.0,2.0,20.1,23.4,No,No
Sydney,22.0,31.5,0.0,12.4,10.3,NA,NA,WSW,SE,4.0,13.0,56.0,45.0,1009.8,1006.6,7.0,7.0,25.4,30.2,No,No
Sydney,19.9,28.8,0.0,7.0,12.9,NA,NA,WSW,ESE,11.0,24.0,30.0,30.0,1012.7,1013.1,2.0,1.0,24.1,25.1,No,No
Sydney,20.8,32.4,0.0,5.4,13.2,NA,NA,WSW,NE,2.0,13.0,76.0,51.0,1018.0,1014.6,1.0,3.0,24.4,30.6,No,No
Sydney,15.6,26.8,0.0,10.0,13.3,NA,NA,WSW,E,15.0,22.0,39.0,31.0,1009.5,1007.4,1.0,1.0,19.8,22.9,No,No
Sydney,21.0,26.7,0.0,8.0,3.8,NA,NA,WSW,ESE,4.0,13.0,83.0,72.0,1017.1,1014.3,7.0,8.0,23.7,25.8,No,Yes
Sydney,10.5,18.9,0.0,8.0,10.2,NA,NA,WSW,S,28.0,26.0,40.0,29.0,1017.9,1016.9,1.0,1.0,12.7,18.5,No,No
Sydney,9.3,16.4,2.8,2.4,0.0,NA,NA,WSW,NNE,2.0,13.0,93.0,90.0,1019.2,1013.8,8.0,8.0,12.2,16.2,Yes,Yes
Sydney,13.2,18.5,0.0,7.2,9.3,NA,NA,WSW,SSE,11.0,26.0,39.0,42.0,1016.8,NA,6.0,4.0,16.5,16.7,No,Yes
Sydney,12.8,24.9,0.0,4.0,9.2,NA,NA,WSW,SE,19.0,17.0,53.0,51.0,1020.3,1019.3,0.0,1.0,17.3,22.2,No,No
